V jenkins:promoted_builds ---expect--> org.jenkins-ci.plugins:promoted-builds
   > 19.5580  org.jenkins-ci.plugins:testabilityexplorer
   > 19.5580  org.jenkins-ci.plugins:tmpcleaner
   > 19.5580  org.jenkins-ci.plugins:vessel
   > 19.5580  org.jenkins-ci.plugins:gcal
   > 19.5580  org.jenkins-ci.plugins:opsgenie
   > 19.5580  org.jenkins-ci.plugins:secret
   > 19.5580  org.jenkins-ci.plugins:sbt
   > 19.5580  org.jenkins-ci.plugins:view26
   > 19.5580  org.jenkins-ci.plugins:jslint
   > 19.5580  org.jenkins-ci.plugins:xfpanel
   > 19.5580  org.jenkins-ci.plugins:xvfb
   > 19.5580  org.jenkins-ci.plugins:createjobadvanced
   > 19.5580  org.jenkins-ci.plugins:bitkeeper
   > 19.5580  org.jenkins-ci.plugins:chroot
   > 19.5580  org.jenkins-ci.plugins:requests
   > 19.5580  org.jenkins-ci.plugins:reviewboard
   > 19.5580  org.jenkins-ci.plugins:vcvarsall
   > 19.5580  org.jenkins-ci.plugins:fluentd
   > 19.5580  org.jenkins-ci.plugins:jdepend
   > 19.5580  org.jenkins-ci.plugins:credentials
   > 19.5580  org.jenkins-ci.plugins:jacoco
   > 19.5580  org.jenkins-ci.plugins:livescreenshot
   > 19.5580  org.jenkins-ci.plugins:modernstatus
   > 19.5580  org.jenkins-ci.plugins:nuget
   > 19.5580  org.jenkins-ci.plugins:hadoop
   > 19.5580  org.jenkins-ci.plugins:updatebot
   > 19.5580  io.jenkins.plugins:bevigil-ci
   > 19.5580  org.jenkins-ci.plugins:brakeman
   > 19.5580  org.jenkins-ci.plugins:diagnostics
   > 19.5580  org.jenkins-ci.plugins:campfire
   > 19.5580  org.jenkins-ci.plugins:chosen
   > 19.5580  org.jenkins-ci.plugins:pitmutation
   > 19.5580  org.jenkins-ci.plugins:smart-jenkins
   > 19.5580  org.jenkins-ci.plugins:buckminster
   > 19.5580  org.jenkins-ci.plugins:appetize
   > 19.5580  org.jenkins-ci.plugins:ci-game
   > 19.5580  org.jenkins-ci.plugins:gitea
   > 19.5580  org.jenkins-ci.plugins:dimensionsscm
   > 19.5580  org.jenkins-ci.plugins:bazaar
   > 19.5580  org.jenkins-ci.plugins:teststudioapitesting
   > 19.5580  org.jenkins-ci.plugins:blink1
   > 19.5580  org.jenkins-ci.plugins:ghprb
   > 19.5580  org.jenkins-ci.plugins:codescene
